num__unit_cost,num__quantity,num__rating,cat__branch_B,cat__branch_C,cat__city_Naypyitaw,cat__city_Yangon,cat__customer_type_Normal,cat__gender_customer_Male,cat__product_line_Fashion accessories,cat__product_line_Food and beverages,cat__product_line_Health and beauty,cat__product_line_Home and lifestyle,cat__product_line_Sports and travel,cat__payment_method_Credit card,cat__payment_method_Ewallet
0.7181601426065471,0.5099302037590051,1.238443414813962,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.5253031933114591,-0.1745398684007332,1.5295268103890953,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3527811165524271,0.5099302037590051,0.24875986985850929,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0962136497169736,0.8521652398388743,0.8309266610087758,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.1569590647302173,0.5099302037590051,-0.9737903915570507,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.1222176698632829,0.5099302037590051,-1.6723905409373707,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4972501861157152,0.16769516767913598,-0.6827069959819174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.675488646737378,1.5366353119986127,0.598059944548669,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.7330483408024578,-1.2012449766403408,0.13232651162845588,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.03142321403328479,-0.8590099405604715,-0.6244903168668905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.5555131018914021,-0.5167749044806024,-1.439523824477264,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
